,Model,MAE,MSE,RMSE,MAPE,R2
0,RNN,0.08313774059767669,0.019344943183884557,0.1390860998945781,4986995099973.588,-0.13081805807565283
1,SVM,0.06919611881704155,0.020476903866695196,0.1430975327065257,4497913996245.437,-0.19698737007550715
