,Model,MAE,MSE,RMSE,MAPE,R2
0,RNN,0.08485916817402701,0.01953580759117881,0.13977055337652067,5148397310570.993,-0.14197512978998317
1,SVM,0.06919611881704256,0.02047690386669544,0.14309753270652656,4497913996245.437,-0.19698737007552158
